x;type
764083206.Keratinized gingiva;Keratinized gingiva
764143897.Keratinized gingiva;Keratinized gingiva
764184357.Keratinized gingiva;Keratinized gingiva
764224817.Keratinized gingiva;Keratinized gingiva
764245047.Keratinized gingiva;Keratinized gingiva
764285508.Keratinized gingiva;Keratinized gingiva
764305738.Keratinized gingiva;Keratinized gingiva
764325968.Keratinized gingiva;Keratinized gingiva
764346198.Keratinized gingiva;Keratinized gingiva
764366428.Keratinized gingiva;Keratinized gingiva
764447348.Keratinized gingiva;Keratinized gingiva
764467579.Keratinized gingiva;Keratinized gingiva
764487809.Keratinized gingiva;Keratinized gingiva
764508039.Keratinized gingiva;Keratinized gingiva
764588959.Keratinized gingiva;Keratinized gingiva
764649650.Keratinized gingiva;Keratinized gingiva
764669880.Keratinized gingiva;Keratinized gingiva
764750800.Keratinized gingiva;Keratinized gingiva
764811490.Keratinized gingiva;Keratinized gingiva
764831721.Keratinized gingiva;Keratinized gingiva
764872181.Keratinized gingiva;Keratinized gingiva
764892411.Keratinized gingiva;Keratinized gingiva
764953101.Keratinized gingiva;Keratinized gingiva
765013792.Keratinized gingiva;Keratinized gingiva
765034022.Keratinized gingiva;Keratinized gingiva
765074482.Keratinized gingiva;Keratinized gingiva
765094712.Keratinized gingiva;Keratinized gingiva
765155402.Keratinized gingiva;Keratinized gingiva
765195863.Keratinized gingiva;Keratinized gingiva
765216093.Keratinized gingiva;Keratinized gingiva
765256553.Keratinized gingiva;Keratinized gingiva
765276783.Keratinized gingiva;Keratinized gingiva
765317243.Keratinized gingiva;Keratinized gingiva
765337473.Keratinized gingiva;Keratinized gingiva
765377934.Keratinized gingiva;Keratinized gingiva
765560005.Keratinized gingiva;Keratinized gingiva
809635352.Keratinized gingiva;Keratinized gingiva
863126187.Keratinized gingiva;Keratinized gingiva
892969023.Keratinized gingiva;Keratinized gingiva
937495960.Keratinized gingiva;Keratinized gingiva
953045535.Keratinized gingiva;Keratinized gingiva
970836795.Keratinized gingiva;Keratinized gingiva
103092734.L_Antecubital fossa;L_Antecubital fossa
132902142.L_Antecubital fossa;L_Antecubital fossa
147406386.L_Antecubital fossa;L_Antecubital fossa
158013734.L_Antecubital fossa;L_Antecubital fossa
158114885.L_Antecubital fossa;L_Antecubital fossa
158155345.L_Antecubital fossa;L_Antecubital fossa
158216035.L_Antecubital fossa;L_Antecubital fossa
158236265.L_Antecubital fossa;L_Antecubital fossa
158276726.L_Antecubital fossa;L_Antecubital fossa
158398106.L_Antecubital fossa;L_Antecubital fossa
158418336.L_Antecubital fossa;L_Antecubital fossa
158438567.L_Antecubital fossa;L_Antecubital fossa
158458797.L_Antecubital fossa;L_Antecubital fossa
158499257.L_Antecubital fossa;L_Antecubital fossa
158742018.L_Antecubital fossa;L_Antecubital fossa
158802708.L_Antecubital fossa;L_Antecubital fossa
158822939.L_Antecubital fossa;L_Antecubital fossa
